date,stock,forecast,actual,forecast_error,absolute_error,squared_error
1996-07-01,AAPL,0.008284836893747437,0.09737253394208013,0.08908769704833269,0.08908769704833269,0.007936617765375506
1996-07-01,AMGN,0.031886992803494246,0.0642522496198479,0.03236525681635366,0.03236525681635366,0.0010475098487885272
1996-07-01,AXP,0.00888572811713938,0.004984972738494819,-0.0039007553786445616,0.0039007553786445616,1.5215892524024477e-05
1996-07-01,BA,0.012613788297581268,0.022347403066540712,0.009733614768959445,0.009733614768959445,9.474325647050542e-05
1996-07-01,CAT,0.013921067279953238,0.05063630318727919,0.036715235907325956,0.036715235907325956,0.0013480085477305971
1996-07-01,CVX,0.012630531940852938,0.017130877827865747,0.00450034588701281,0.00450034588701281,2.0253113102753113e-05
1996-07-01,DIS,0.012747772413736261,0.026333610600808174,0.013585838187071913,0.013585838187071913,0.00018457499924530145
1996-07-01,HD,0.036086616004689515,0.05315308371156367,0.017066467706874158,0.017066467706874158,0.0002912643199897785
1996-07-01,HON,0.0034422360908152386,0.04980314318178707,0.046360907090971834,0.046360907090971834,0.0021493337062977224
1996-07-01,IBM,-0.0067352817988279665,0.06199178449894544,0.0687270662977734,0.0687270662977734,0.004723409641898541
1996-07-01,INTC,0.021080582150980916,0.06121319487795096,0.040132612726970045,0.040132612726970045,0.001610626604292958
1996-07-01,JNJ,0.01777192434451645,0.030929775684734654,0.013157851340218202,0.013157851340218202,0.00017312905189128194
1996-07-01,JPM,0.001132984484250166,0.07566919182667642,0.07453620734242625,0.07453620734242625,0.005555646204993156
1996-07-01,KO,0.06269208296501003,0.06453864886577372,0.0018465659007636942,0.0018465659007636942,3.4098056258632332e-06
1996-07-01,MCD,0.025625194034351786,0.0,-0.025625194034351786,0.025625194034351786,0.0006566505692981783
1996-07-01,MMM,0.017346250441784186,0.09431096910971933,0.07696471866793514,0.07696471866793514,0.005923567919634404
1996-07-01,MRK,0.01908675900588111,0.021175166479401413,0.0020884074735203033,0.0020884074735203033,4.361445775455456e-06
1996-07-01,NKE,0.027738597681101654,0.048617243041660235,0.02087864536055858,0.02087864536055858,0.00043591783209197434
1996-07-01,PG,0.015414851031636059,0.0011293953101186155,-0.014285455721517444,0.014285455721517444,0.00020407424517143548
1996-07-01,TRV,0.006196158172244565,0.0,-0.006196158172244565,0.006196158172244565,3.839237609547311e-05
1996-07-01,UNH,0.0169610542486733,0.13491913944457484,0.11795808519590154,0.11795808519590154,0.013914109863083566
1996-07-01,VZ,0.014359944384008044,-0.03811962519975457,-0.05247956958376261,0.05247956958376261,0.0027541052236969817
1996-07-01,WBA,0.03274686691091989,0.034819525029564063,0.002072658118644176,0.002072658118644176,4.295911676781614e-06
1996-07-01,WMT,0.019820631001221813,0.09436285553513915,0.07454222453391735,0.07454222453391735,0.005556543238464949
1996-08-01,AAPL,0.009840035821225081,-0.08888658994646916,-0.09872662576769424,0.09872662576769424,0.009746946635474348
1996-08-01,AMGN,0.034350729437930376,0.08037298455992187,0.04602225512199149,0.04602225512199149,0.002118047966513672
1996-08-01,AXP,0.008700703482267869,0.05556940791333682,0.04686870443106895,0.04686870443106895,0.002196675455046902
1996-08-01,BA,0.011210164500323078,0.04635730033109673,0.035147135830773654,0.035147135830773654,0.0012353211571068533
1996-08-01,CAT,0.02442080193275912,0.09018255443571377,0.06576175250295466,0.06576175250295466,0.004324608092259863
1996-08-01,CVX,0.012664369127973335,0.07104193905821846,0.05837756993024512,0.05837756993024512,0.0034079406709606594
1996-08-01,DIS,0.01460040625866084,0.10404439995878624,0.0894439937001254,0.0894439937001254,0.008000228009028073
1996-08-01,HD,0.03221453734557007,0.06820857979073483,0.03599404244516476,0.03599404244516476,0.0012955710915443226
1996-08-01,HON,0.010432820369378346,0.068285756882221,0.05785293651284265,0.05785293651284265,0.0033469622631590026
1996-08-01,IBM,0.02278904539903323,0.08802066376111162,0.06523161836207839,0.06523161836207839,0.004255164034135842
1996-08-01,INTC,0.021382331118852873,0.17879115603596488,0.157408824917112,0.157408824917112,0.02477753816178602
1996-08-01,JNJ,0.0178708555576008,0.04338986076468162,0.02551900520708082,0.02551900520708082,0.0006512196267590179
1996-08-01,JPM,0.009307028527870695,0.07446861328642083,0.06516158475855013,0.06516158475855013,0.004246032128245713
1996-08-01,KO,0.050219800590439914,0.017348599106051306,-0.03287120148438861,0.03287120148438861,0.001080515887027272
1996-08-01,MCD,0.014698672051597472,0.022914567659126236,0.008215895607528764,0.008215895607528764,6.750094063381044e-05
1996-08-01,MMM,0.0012640986629994348,0.021619615312692943,0.020355516649693508,0.020355516649693508,0.0004143470580759496
1996-08-01,MRK,0.01883922201265815,0.06988110782639569,0.05104188581373753,0.05104188581373753,0.0026052741074226206
1996-08-01,NKE,0.027895579977045705,0.11983798295259848,0.09194240297555278,0.09194240297555278,0.008453405464918937
1996-08-01,PG,0.01622806076053722,0.09262122099338806,0.07639316023285084,0.07639316023285084,0.005835914930362023
1996-08-01,TRV,0.005285030263106581,0.069958595824583,0.06467356556147641,0.06467356556147641,0.004182670082434587
1996-08-01,UNH,-0.04256227742912892,0.07480094114973243,0.11736321857886135,0.11736321857886135,0.013774125075189587
1996-08-01,VZ,-0.0056359318743427825,0.06245319257582997,0.06808912445017276,0.06808912445017276,0.004636128868391114
1996-08-01,WBA,-0.016385358438832473,0.12138786179048879,0.13777322022932126,0.13777322022932126,0.018981460212357058
1996-08-01,WMT,0.008031095294285728,0.0019364031025417582,-0.00609469219174397,0.00609469219174397,3.714527291210492e-05
