date,stock,forecast,actual,forecast_error,absolute_error,squared_error
1996-07-01,AAPL,-0.024986132059694556,0.0973723369199726,0.12235846897966715,0.12235846897966715,0.014971594931048169
1996-07-01,AMGN,0.027450868735308324,0.06425234432495636,0.03680147558964803,0.03680147558964803,0.00135434860557546
1996-07-01,AXP,0.008756884710512773,0.004984863405616145,-0.0037720213048966283,0.0037720213048966283,1.4228144724594063e-05
1996-07-01,BA,0.04686586927407797,0.022347819794497903,-0.02451804947958007,0.02451804947958007,0.0006011347502831365
1996-07-01,CAT,0.02508942113224598,0.05063665687310479,0.025547235740858813,0.025547235740858813,0.000652661253999014
1996-07-01,CVX,0.012630529805558118,0.01713134329591337,0.004500813490355252,0.004500813490355252,2.025732207496383e-05
1996-07-01,DIS,0.011461712406242044,0.02633347588712671,0.014871763480884667,0.014871763480884667,0.00022116934903137483
1996-07-01,HD,0.05285775627948329,0.05315272372187598,0.00029496744239269207,0.00029496744239269207,8.700579207168611e-08
1996-07-01,HON,0.007117499113290663,0.0498028870332374,0.04268538791994674,0.04268538791994674,0.0018220423418763352
1996-07-01,IBM,-0.004513240607953266,0.06199192555094972,0.06650516615890298,0.06650516615890298,0.004422937125823294
1996-07-01,INTC,0.051437482986940855,0.061212772017309784,0.009775289030368929,0.009775289030368929,9.555627562725112e-05
1996-07-01,JNJ,0.017771916822295706,0.03093026563591677,0.013158348813621063,0.013158348813621063,0.00017314214350092283
1996-07-01,JPM,0.005461216305081333,0.07566965318537255,0.07020843688029121,0.07020843688029121,0.004929224609173836
1996-07-01,KO,0.06301831992363575,0.06453888835610946,0.0015205684324737095,0.0015205684324737095,2.312128357835554e-06
1996-07-01,MCD,0.023794089144984924,0.0,-0.023794089144984924,0.023794089144984924,0.0005661586782394894
1996-07-01,MMM,0.029952377961328977,0.09431036891438566,0.06435799095305668,0.06435799095305668,0.004141950999513725
1996-07-01,MRK,0.019528332305255292,0.02117507217366497,0.0016467398684096787,0.0016467398684096787,2.711752194209926e-06
1996-07-01,NKE,0.02773859735502575,0.04861647516637079,0.020877877811345043,0.020877877811345043,0.0004358857819054537
1996-07-01,PG,0.01847250726954544,0.0011296591893770712,-0.01734284808016837,0.01734284808016837,0.0003007743795317997
1996-07-01,TRV,0.005802477485507484,0.0,-0.005802477485507484,0.005802477485507484,3.366874496982126e-05
1996-07-01,UNH,0.02849896233438456,0.13491975605108172,0.10642079371669716,0.10642079371669716,0.01132538533529181
1996-07-01,VZ,0.016740359764937186,-0.03811935599410165,-0.054859715759038835,0.054859715759038835,0.003009588413162534
1996-07-01,WBA,0.031166644341723025,0.03482025742480525,0.0036536130830822217,0.0036536130830822217,1.3348888560869577e-05
1996-07-01,WMT,0.019360734430047245,0.0943630540629577,0.07500231963291046,0.07500231963291046,0.005625347950317265
1996-08-01,AAPL,0.009820022555270268,-0.08888639597134534,-0.09870641852661562,0.09870641852661562,0.009742957058351407
1996-08-01,AMGN,0.031685632048407165,0.08037297724604565,0.04868734519763849,0.04868734519763849,0.0023704575823940118
1996-08-01,AXP,0.008728523648069942,0.05556900013091429,0.04684047648284435,0.04684047648284435,0.002194030237139894
1996-08-01,BA,0.015989145137355096,0.04635710199478768,0.030367956857432585,0.030367956857432585,0.0009222128036948867
1996-08-01,CAT,0.03659730484008678,0.09018181574770791,0.053584510907621126,0.053584510907621126,0.0028712998092089675
1996-08-01,CVX,0.012664370508493119,0.07104165437708904,0.05837728386859592,0.05837728386859592,0.0034079072718746295
1996-08-01,DIS,0.013392295411267928,0.10404386696135945,0.09065157155009151,0.09065157155009151,0.00821770742450136
1996-08-01,HD,0.014966558242266736,0.06820845546586748,0.053241897223600745,0.053241897223600745,0.0028346996199684646
1996-08-01,HON,0.010579697797512532,0.06828614646038203,0.057706448662869496,0.057706448662869496,0.003330034217280393
1996-08-01,IBM,0.01674912002965733,0.088020345090666,0.07127122506100866,0.07127122506100866,0.0050795875216969495
1996-08-01,INTC,0.04296696783129047,0.17879136671855506,0.13582439888726458,0.13582439888726458,0.01844826733308676
1996-08-01,JNJ,0.017870851775781578,0.043389562402074665,0.025518710626293087,0.025518710626293087,0.0006512045920284837
1996-08-01,JPM,0.009307021865856989,0.07446876822161765,0.06516174635576066,0.06516174635576066,0.004246053188132488
1996-08-01,KO,0.050070971724786216,0.017348281158587532,-0.032722690566198684,0.032722690566198684,0.0010707744778911882
1996-08-01,MCD,0.014698671604399572,0.02291433819061639,0.008215666586216818,0.008215666586216818,6.749717745587951e-05
1996-08-01,MMM,-0.008516642527760025,0.02161998294946201,0.030136625477222033,0.030136625477222033,0.0009082161951543481
1996-08-01,MRK,0.01955310116214685,0.06988121995400548,0.050328118791858625,0.050328118791858625,0.0025329195411274335
1996-08-01,NKE,0.027895573879923075,0.11983821538693087,0.0919426415070078,0.0919426415070078,0.008453449327286155
1996-08-01,PG,0.013678840788388458,0.09262138887886905,0.07894254809048058,0.07894254809048058,0.0062319258990178395
1996-08-01,TRV,0.0052850285307735004,0.06995917014498558,0.06467414161421207,0.06467414161421207,0.004182744593535158
1996-08-01,UNH,-0.016806665257108003,0.07480098562742886,0.09160765088453686,0.09160765088453686,0.008391961700583187
1996-08-01,VZ,-0.013756310747735437,0.06245286415834796,0.0762091749060834,0.0762091749060834,0.00580783833986601
1996-08-01,WBA,-0.001312892457817797,0.12138692736946458,0.12269981982728237,0.12269981982728237,0.015055245785647556
1996-08-01,WMT,0.005403688360146597,0.0019361444697638796,-0.0034675438903827172,0.0034675438903827172,1.202386063173051e-05
