date,stock,forecast,actual,forecast_error,absolute_error,squared_error,explained_variance_ratio
2016-08-01,MCD,0.0079755048624469,0.005144154931862547,-0.002831349930584353,0.002831349930584353,8.01654242942002e-06,0.31272840175645394
2016-08-01,MMM,0.009371807749988557,-0.010724394261021435,-0.020096202011009992,0.020096202011009992,0.000403857335267322,0.31272840175645394
2016-08-01,MRK,0.009587107371768188,-0.006070440894342268,-0.015657548266110457,0.015657548266110457,0.0002451588177055786,0.31272840175645394
2016-08-01,NKE,0.012761916824625325,-0.09055083056480785,-0.10331274738943318,0.10331274738943318,0.010673523773152832,0.31272840175645394
2016-08-01,PG,0.008237273805537085,0.027563413317970117,0.019326139512433033,0.019326139512433033,0.00037349966845402527,0.31272840175645394
2016-08-01,TRV,0.0043774833397026945,-0.035672115127156664,-0.04004959846685936,0.04004959846685936,0.0016039703373566638,0.31272840175645394
2016-08-01,UNH,0.014202550751437653,0.028620054209384255,0.014417503457946602,0.014417503457946602,0.00020786440595990224,0.31272840175645394
2016-08-01,VZ,0.005979556533582604,-0.006710871949330864,-0.012690428482913468,0.012690428482913468,0.00016104697507994143,0.31272840175645394
2016-08-01,WBA,0.008896191226621502,0.003423386920614399,-0.005472804306007103,0.005472804306007103,2.9951586971849887e-05,0.31272840175645394
2016-08-01,WMT,0.009305429628686683,0.01629580809558193,0.006990378466895247,0.006990378466895247,4.886539111043274e-05,0.31272840175645394
2016-09-01,AAPL,0.018141073913210178,0.004324812702160173,-0.013816261211050005,0.013816261211050005,0.00019088907385196496,0.3125785901860638
2016-09-01,AMGN,0.014123993742105368,-0.16696117693124302,-0.1810851706733484,0.1810851706733484,0.032791839037795714,0.3125785901860638
2016-09-01,AXP,0.008933711810433948,0.03649001623678771,0.02755630442635376,0.02755630442635376,0.0007593499136378839,0.3125785901860638
2016-09-01,BA,0.007524601531070772,0.07802037576810437,0.0704957742370336,0.0704957742370336,0.00496965418527881,0.3125785901860638
2016-09-01,CAT,0.00949255579046836,-0.061681198011787036,-0.0711737538022554,0.0711737538022554,0.005065703230304064,0.3125785901860638
2016-09-01,CVX,0.0071469908323887315,0.017624824720583073,0.010477833888194342,0.010477833888194342,0.00010978500298859375,0.3125785901860638
2016-09-01,DIS,0.013637682310737809,-0.00183253596290644,-0.015470218273644249,0.015470218273644249,0.00023932765343419643,0.3125785901860638
2016-09-01,HD,0.012760013932544195,-0.05322583159618758,-0.06598584552873177,0.06598584552873177,0.004354131810141651,0.3125785901860638
2016-09-01,HON,0.008614959742973488,-0.0557821603547279,-0.06439712009770139,0.06439712009770139,0.004146989076877776,0.3125785901860638
2016-09-01,IBM,0.006953978250693845,-0.03302296231793847,-0.03997694056863232,0.03997694056863232,0.0015981557772279604,0.3125785901860638
2016-09-01,INTC,0.012284708149351417,-0.07935840075104172,-0.09164310890039314,0.09164310890039314,0.008398459408929316,0.3125785901860638
2016-09-01,JNJ,0.009496609385637997,-0.018281827715655834,-0.02777843710129383,0.02777843710129383,0.0007716415677905376,0.3125785901860638
2016-09-01,JPM,0.00426406288961904,0.03931325950320706,0.035049196613588025,0.035049196613588025,0.0012284461832579503,0.3125785901860638
2016-09-01,KO,0.010661241687858284,0.010025227289287114,-0.0006360143985711698,0.0006360143985711698,4.0451431518984687e-07,0.3125785901860638
2016-09-01,MCD,0.008483238923070686,-0.024482420959085344,-0.03296565988215603,0.03296565988215603,0.0010867347314659915,0.3125785901860638
2016-09-01,MMM,0.010508283482269974,-0.06402772021313252,-0.0745360036954025,0.0745360036954025,0.005555615846881056,0.3125785901860638
2016-09-01,MRK,0.011056479025837816,-0.05363901188852663,-0.06469549091436444,0.06469549091436444,0.004185506544650611,0.3125785901860638
2016-09-01,NKE,0.012642669898602755,-0.04526963910372489,-0.05791230900232765,0.05791230900232765,0.0033538355339810797,0.3125785901860638
2016-09-01,PG,0.008481519808405148,-0.03342162277008294,-0.04190314257848809,0.04190314257848809,0.0017558733579531014,0.3125785901860638
2016-09-01,TRV,0.004605410709523707,-0.051582434818148934,-0.05618784552767264,0.05618784552767264,0.0031570739850416024,0.3125785901860638
2016-09-01,UNH,0.012707439270605154,0.014062297970578045,0.0013548586999728909,0.0013548586999728909,1.835642096892232e-06,0.3125785901860638
2016-09-01,VZ,0.006752075330463845,-0.07757665200135652,-0.08432872733182037,0.08432872733182037,0.007111334253404508,0.3125785901860638
2016-09-01,WBA,0.009487146734774379,0.02583574398170228,0.0163485972469279,0.0163485972469279,0.00026727663194225855,0.3125785901860638
2016-09-01,WMT,0.006789901586775331,-0.02955060569829236,-0.036340507285067686,0.036340507285067686,0.0013206324697360575,0.3125785901860638
2016-10-01,AAPL,0.014560501934030213,-0.026958520877526832,-0.041519022811557046,0.041519022811557046,0.0017238292552265945,0.3122889159779426
2016-10-01,AMGN,0.016116269218469054,0.02040520014871399,0.0042889309302449365,0.0042889309302449365,1.8394928524411697e-05,0.3122889159779426
2016-10-01,AXP,0.011667224201772096,0.08624318254178127,0.07457595834000919,0.07457595834000919,0.0055615735623307854,0.3122889159779426
2016-10-01,BA,0.011182603077040203,0.055510859498745554,0.04432825642170535,0.04432825642170535,0.0019649943173884613,0.3122889159779426
2016-10-01,CAT,0.012650918959337206,0.14417547222626204,0.13152455326692483,0.13152455326692483,0.01729870811206415,0.3122889159779426
2016-10-01,CVX,0.011009450347867638,0.06298563109366018,0.051976180745792536,0.051976180745792536,0.002701523364919295,0.3122889159779426
2016-10-01,DIS,0.012060144076149363,0.06707082454721021,0.05501068047106085,0.05501068047106085,0.0030261749658891555,0.3122889159779426
2016-10-01,HD,0.017565075613683017,0.0588054040072746,0.04124032839359158,0.04124032839359158,0.001700764686011276,0.3122889159779426
2016-10-01,HON,0.011854448319292834,0.03810491498272798,0.026250466663435147,0.026250466663435147,0.0006890870000481199,0.3122889159779426
2016-10-01,IBM,0.005139295400908394,0.05401630634206587,0.04887701094115748,0.04887701094115748,0.0023889621985420276,0.3122889159779426
2016-10-01,INTC,0.013715565991654381,-0.004886972240723394,-0.018602538232377775,0.018602538232377775,0.0003460544286870768,0.3122889159779426
2016-10-01,JNJ,0.011360383811701593,-0.041274559701280945,-0.052634943512982535,0.052634943512982535,0.0027704372786148622,0.3122889159779426
2016-10-01,JPM,0.008043331289344563,0.15352495328463756,0.145481621995293,0.145481621995293,0.02116490233838132,0.3122889159779426
2016-10-01,KO,0.011382145492174424,-0.04955734453137734,-0.060939490023551764,0.060939490023551764,0.003713621444330565,0.3122889159779426
2016-10-01,MCD,0.011583661357530708,0.05781476928443624,0.04623110792690553,0.04623110792690553,0.0021373153401491873,0.3122889159779426
2016-10-01,MMM,0.010638543452608678,0.0382199953614746,0.02758145190886592,0.02758145190886592,0.0007607364894010835,0.3122889159779426
2016-10-01,MRK,0.01094988887435837,0.041203891735592184,0.030254002861233815,0.030254002861233815,0.0009153046891275439,0.3122889159779426
