Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
1985-06-01,0.0617300346493721,0.11524980515241623,2.913198471069336,4.8007917404174805,1.6847519874572754,,,1.9399633407592773,1.3580132722854614,,,0.16532784700393677,3.7053627967834473,10.393857955932617,0.30201560258865356,1.130150318145752,3.166809558868408,0.5435526967048645,1.8112226724624634,2.453958034515381,0.861667811870575,,0.11763086915016174,1.2565594911575317,6.264303684234619,0.2770976424217224,,1.5968457460403442,0.7946256399154663,0.33672356605529785
1985-07-01,0.05444295331835747,0.1044452041387558,2.73199200630188,5.176272392272949,1.8754781484603882,,,1.9075229167938232,1.2603657245635986,,,0.16376832127571106,3.8792219161987305,11.034285545349121,0.3281513750553131,1.1240582466125488,3.1859073638916016,0.5722370743751526,1.7385084629058838,2.5168795585632324,0.8700324296951294,,0.12310159206390381,1.2817462682724,6.1887006759643555,0.2863335609436035,,1.528537392616272,0.7083313465118408,0.3055315613746643
1985-08-01,0.05144159495830536,0.10984719544649124,2.5467731952667236,5.162863731384277,1.8372695446014404,,,1.952939748764038,1.292914867401123,,,0.1481713056564331,3.6075687408447266,10.635331153869629,0.30201560258865356,1.1392890214920044,3.117706537246704,0.5672873854637146,1.7143828868865967,2.4067654609680176,0.8796675801277161,,0.13678015768527985,1.3019658327102661,6.1995015144348145,0.2586241364479065,,1.5738744735717773,0.7370957136154175,0.31941962242126465
1985-09-01,0.05401427671313286,0.11524980515241623,2.562208414077759,4.894608974456787,1.8053715229034424,,,1.952046275138855,1.2133514881134033,,,0.13881300389766693,3.8574888706207275,10.493660926818848,0.2991112470626831,1.0891056060791016,2.611079454421997,0.5524365305900574,1.7210148572921753,2.418565511703491,0.840228796005249,,0.1463542878627777,1.2764928340911865,5.853884696960449,0.1908896565437317,,1.485357642173767,0.6680512428283691,0.2951371371746063
1985-10-01,0.06387334316968918,0.15126515924930573,2.83223295211792,4.948542594909668,1.811750054359436,,,2.064157485961914,1.3354363441467285,,,0.13725359737873077,3.8140242099761963,11.001934051513672,0.2962074279785156,1.1535319089889526,3.078031063079834,0.5734373927116394,1.7707546949386597,2.4742565155029297,0.9042645692825317,,0.1477225124835968,1.4349937438964844,6.339907169342041,0.23707197606563568,,1.5996897220611572,0.7186068892478943,0.32758641242980957
1985-11-01,0.06901795417070389,0.16026915609836578,3.042314291000366,5.2991204261779785,2.041975736618042,,,2.0179948806762695,1.4370445013046265,,,0.13725359737873077,4.020481586456299,11.838462829589844,0.33105528354644775,1.2240937948226929,3.2858731746673584,0.6665083169937134,1.9900739192962646,2.6850829124450684,1.0090501308441162,,0.14498642086982727,1.5373973846435547,6.6747260093688965,0.2463088482618332,,1.7515170574188232,0.7944395542144775,0.3662174642086029
1985-12-01,0.07544778287410736,0.194483682513237,3.2990849018096924,5.669673442840576,2.1507959365844727,,,2.0431385040283203,1.6384488344192505,,,0.15596963465213776,4.10569953918457,13.282224655151367,0.33976736664772034,1.3000813722610474,3.592686653137207,0.6826674938201904,2.15313982963562,2.8874216079711914,1.0633829832077026,,0.1545611321926117,1.5975191593170166,6.901535511016846,0.2524667978286743,,1.8747389316558838,0.8164985775947571,0.3940313756465912
1986-01-01,0.07930640131235123,0.20348769426345825,3.524486780166626,5.2356343269348145,2.3428311347961426,,,1.9560528993606567,1.7215347290039062,,,0.15596963465213776,4.127657413482666,12.94055461883545,0.3281513750553131,1.3278722763061523,3.5539748668670654,0.6776180267333984,2.1265177726745605,2.9236137866973877,1.0757255554199219,,0.18465279042720795,1.508768081665039,7.754772663116455,0.31404390931129456,,1.9683724641799927,0.7620648145675659,0.3975815176963806
1986-02-01,0.0857362449169159,0.21609297394752502,4.119734764099121,5.791745662689209,2.6068007946014404,,,1.9694503545761108,2.027261734008789,,,0.1809249073266983,4.500899314880371,12.887173652648926,0.32234323024749756,1.2290544509887695,3.85516095161438,0.7775942087173462,2.3866443634033203,3.176969528198242,1.177337646484375,,0.1791812926530838,1.595765233039856,7.970788478851318,0.34175342321395874,,2.053370714187622,0.8745601773262024,0.4207862913608551
1986-03-01,0.09688201546669006,0.26651501655578613,4.307706356048584,6.2238969802856445,2.7031123638153076,,,1.9887440204620361,2.183763027191162,,,0.20120078325271606,4.564672470092773,13.033050537109375,0.30201560258865356,1.426892638206482,4.387253761291504,0.8503040671348572,2.5735702514648438,3.417799472808838,1.3701865673065186,,0.19833074510097504,1.7027276754379272,8.856430053710938,0.3694630563259125,,2.22336745262146,0.9769602417945862,0.48730817437171936
1986-04-01,0.10374123603105545,0.295326828956604,3.7862155437469482,6.142003059387207,2.722374439239502,,,2.097717761993408,2.619492769241333,,,0.21211914718151093,4.597908020019531,13.441670417785645,0.33105528354644775,1.6382839679718018,4.333724498748779,0.9079691767692566,2.657019853591919,3.4015614986419678,1.3642890453338623,0.06864370405673981,0.17644581198692322,1.6998366117477417,8.273202896118164,0.3479107916355133,,2.3152668476104736,0.9806057810783386,0.50175940990448
1986-05-01,0.126890167593956,0.37095949053764343,3.9357752799987793,6.36038875579834,2.7936172485351562,,,2.1794474124908447,2.7435367107391357,,,0.25735026597976685,4.010705471038818,13.10832405090332,0.31653517484664917,1.7004570960998535,4.343897819519043,0.9446144700050354,2.740468740463257,3.4624481201171875,1.517624020576477,0.07449733465909958,0.1914919912815094,1.8174296617507935,8.402807235717773,0.35099029541015625,,2.469618558883667,1.0972577333450317,0.5931296944618225
